Title,imdbID,tmdbId,BoxOffice
The Swedish Moment,tt3435570,300487.0,0
Fear Clinic,tt2165765,287524.0,0
F.C. De Kampioenen: Kampioen zijn blijft plezant,tt2671776,201386.0,7471304
Mysteries of Lisbon,tt1236371,57403.0,0
It Was the Son,tt1891788,121998.0,1073326
The Kingdom of Solomon,tt1706450,153779.0,0
Action Hero Biju,tt5320514,381374.0,2500000
The Last Light,tt2375443,273743.0,0
Unexpected Journey,tt5822160,439695.0,0
In the Dark Half,tt1764645,124501.0,0
The Avenue,tt6174392,443053.0,0
Ocean Heaven,tt1498858,54328.0,0
The Pig Farm,tt1345505,211220.0,0
The Redwood Massacre,tt3242756,339992.0,0
Werewolf: The Beast Among Us,tt1987028,132137.0,0
Miss Meadows,tt3128900,261037.0,0
Little Wing,tt4636254,408203.0,0
Lost Boys: The Thirst,tt1400526,46812.0,0
Redistributors,tt3907206,416086.0,0
Green Lantern: Emerald Knights,tt1683043,65291.0,0
Small Apartments,tt1272886,95755.0,0
Outpost: Black Sun,tt1418712,100183.0,0
Raspberry Boat Refugee,tt2965842,293491.0,0
Quarantine L.A.,tt2536086,184710.0,0
Dream Team 1935,tt2516280,144331.0,0
SWAT: Unit 887,tt3515632,359471.0,0
Moomins on the Riviera,tt2371399,293271.0,2200510
Refuge,tt2292196,180095.0,0
Confessions of a Brazilian Call Girl,tt1587828,58235.0,0
Goddess,tt1860238,179340.0,0
1944,tt3213684,321303.0,0
Any Questions for Ben?,tt1735839,88478.0,0
The Ultimate Accessory,tt2319018,225564.0,0
What the Health,tt5541848,415086.0,0
Handsome Devil,tt5016946,412202.0,0
October 1,tt3206616,325803.0,0
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,tt2446192,160220.0,0
To Write Love on Her Arms,tt1850418,75861.0,0
Hell and Mr. Fudge,tt1966465,241739.0,0
Banking on Bitcoin,tt5033790,427451.0,0
F,tt1486670,53459.0,0
Devil's Bride,tt4771956,408194.0,0
The Childhood of a Leader,tt2815902,330982.0,0
TimeScapes,tt2297031,112162.0,0
Livid,tt1727516,83900.0,0
Miss Representation,tt1784538,77801.0,0
The Mighty Angel,tt2521188,251584.0,0
The Mother of Invention,tt1274589,140489.0,0
Motivational Growth,tt1754228,224946.0,0
11 Minutes,tt3865478,314371.0,0
Silenced,tt2070649,81481.0,31500000
The Dynamiter,tt1738366,85657.0,0
Something Wicked,tt1327601,260947.0,0
Admiral,tt1101026,13506.0,38135878
Columbus Circle,tt1465533,92000.0,0
Yennai Arindhaal,tt4258292,300983.0,16000000
22 Minutes,tt2856896,271234.0,0
